"brood_year","run_year","Month","Tags_Collected","Catch","Harvested","Release_Mort","Drop_Mort","Impact"
1995,1998,5,1,3.73897677656333,3.58818786841605,0.039205116118292,0.186948838828166,3.81434182336251
1997,2000,5,1,4.94961254537537,4.75,0.0518992617975973,0.247480627268769,5.04937988906637
1997,2000,7,1,2.24955152062614,2.05,0.0518833953627963,0.112477576031307,2.2143609713941
1997,2001,9,1,3.16000332530319,3.16,8.64578830475082e-07,0.15800016626516,3.31800103084399
1998,2001,4,1,3.83861447676494,3.67701195219123,0.0420166563891632,0.191930723838247,3.91095933241864
1998,2001,7,1,3.30082204016351,3.0080152067163,0.0761297766962756,0.165041102008176,3.24918608542075
1998,2001,8,1,2.84616222693723,2.75,0.0250021790036796,0.142308111346861,2.91731029035054
1998,2001,9,1,2.58745544180779,2.54,0.0123384148700262,0.12937277209039,2.68171118696042
1999,2002,4,1,3.59880771957436,3.44730086300962,0.0393917827068319,0.179940385978718,3.66663303169517
1999,2002,5,2,11.6275012499869,11.1585766423358,0.121920397989292,0.581375062499345,11.8618721028244
1999,2002,6,3,13.7414691922884,12.7536876826899,0.2568231924956,0.687073459614419,13.6975843347999
1999,2002,7,5,14.4870565884285,13.9051809229081,0.151287673035301,0.724352829421425,14.7808214253648
1999,2002,9,1,1.69379149194128,1.6627263681592,0.00807693218333867,0.0846895745970638,1.75549287493961
2000,2003,4,1,3.76934923202999,3.61066271751203,0.0412584937746689,0.1884674616015,3.8403886728882
2000,2003,6,1,3.50974036226997,3.25744880706369,0.065595804353634,0.175487018113499,3.49853162953082
2000,2003,7,2,7.14423626630234,6.71126173979985,0.112573376890649,0.357211813315117,7.18104693000561
2000,2003,9,1,2.3035796690873,2.18283582089552,0.0313934005298621,0.115178983454365,2.32940820487975
2000,2003,10,1,3.97482118774237,3.63205300234821,0.0891197282024821,0.198741059387118,3.91991378993781
2001,2004,7,1,3.76584977713298,3.431791613723,0.0868551224865947,0.188292488856649,3.70693922506624
2001,2005,5,1,1.95585112869942,1.94746330157095,0.00218083505340176,0.0977925564349709,2.04743669305932
2001,2005,9,1,1.81566960295503,1.81566769230769,4.96768306930129e-07,0.0907834801477513,1.90645166922375
2002,2005,5,2,4.80637531513854,3.94168768776128,0.224818783118089,0.240318765756927,4.40682523663629
2002,2005,6,1,2.67528894647118,2.06504367217989,0.158663771315736,0.133764447323559,2.35747189081919
2002,2005,7,7,28.4578572429144,23.5808891098927,1.26801171458565,1.42289286214572,26.271793686624
2002,2005,8,1,4.09023428447165,3.42853885616568,0.172040811359552,0.204511714223583,3.80509138174882
2002,2005,9,3,10.0913201526607,8.83838691692994,0.325762641290002,0.504566007633036,9.66871556585298
2003,2006,5,1,3.67268030352179,3.33646770601336,0.0874152753521903,0.183634015176089,3.60751699654164
2003,2006,7,2,7.92871392910407,6.56992978601073,0.353283877204269,0.396435696455204,7.31964935967021
2003,2006,8,2,7.11795278652989,5.96644984313482,0.29939076528272,0.355897639326495,6.62173824774403
2003,2006,9,3,6.04277021055327,5.72603389847689,0.0823514411398588,0.302138510527664,6.11052385014442
2004,2006,8,1,316.576657552621,2.94138620428274,81.545170550568,15.8288328776311,100.315389632482
2004,2007,7,5,17.1643824502742,14.2228346900742,0.764802417651986,0.858219122513709,15.8458562302399
2007,2010,7,1,1.74080670999623,1.5863845405501,0.0401497640559946,0.0870403354998117,1.71357464010591
