"brood_year","Jun2","Jul2","Aug2","Sept2","Mar3","Apr3","May3","Jun3","Jul3","Aug3","Sept3","Oct3","May4","Jul4","Sept4"
1995,0,0,0,0,0,6.96734931628775,3.81434182336251,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,5.04937988906637,3.43362704012896,2.2143609713941,0,0,0,0,0,3.31800103084399
1998,4.12880844472598,0,0,0,0,3.91095933241864,0,0,18.110898082029,2.91731029035054,2.68171118696042,0,0,3.73800078632133,0
1999,0,0,0,0,5.04429455715755,3.66663303169517,11.8618721028244,21.5721414772527,16.7386140650172,0,1.75549287493961,0,0,0,0
2000,0,9.86346169263784,0,0,0,3.8403886728882,0,3.49853162953082,11.938429861806,3.93386016176113,2.32940820487975,3.91991378993781,0,0,0
2001,0,0,0,0,3.83903314512859,5.12718309170561,3.93980694937752,0,3.70693922506624,0,0,0,2.04743669305932,0,1.90645166922375
2002,6.3167790577758,19.1292918689218,5.96529877426812,7.21139680236946,0,3.95012949336178,12.7748035362872,21.8086328453812,26.271793686624,33.1035659991696,9.66871556585298,1.43107564303256,0,0,0
2003,0,13.3667594277691,0,0,0,5.51011071936299,3.60751699654164,3.32525868350098,29.4433702951083,6.62173824774403,11.0657893016469,0,0,0,0
2004,19.3067327340473,19.5053589451134,100.315389632482,0,0,0,0,5.28671745923801,15.8458562302399,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,1.71357464010591,0,0,0,0,0,0
